"Column1","Тип квартиры","м^2","Этаж","Этажей в доме","Адресс","Станция метро","Окна во двор","Окна на улицу","Окна на солнечную сторону","Новостройка","Цена квартиры","Цена за м^2"
"2734","2-к. квартира","65,7 м²","5","24 эт.","жилой комплекс Барклая 6, к5","Багратионовская","1","0","0","1","22000000","334 855 ₽ за м²"
"2735","2-к. квартира","37,3 м²","3","20 эт.","ул. Озёрная, вл. 1, стр. 6","Мичуринский проспект","1","0","0","1","14990000","401 877 ₽ за м²"
"2736","1-к. квартира","32,4 м²","8","22 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","9067593","279 864 ₽ за м²"
"2737","1-к. квартира","46,4 м²","12","34 эт.","ул. Обручева, вл. 23","Калужская","1","0","0","1","19500000","420 259 ₽ за м²"
"2738","2-к. квартира","57,6 м²","3","16 эт.","п. Сосенское, дер. Николо-Хованское, кв-л 26, д. 4","Прокшино","1","0","0","1","12900000","223 958 ₽ за м²"
"2739","Квартира-студия","19,7 м²","15","18 эт.","жилой комплекс Никольские Луга, 1.2","Улица Скобелевская","1","0","0","1","6700000","340 102 ₽ за м²"
"2740","2-к. квартира","40,3 м²","14","29 эт.","пр-т Волгоградский, вл. 32/5","Угрешская","1","0","0","1","14000000","347 395 ₽ за м²"
"2741","1-к. квартира","33,7 м²","19","32 эт.","пр-д Причальный, вл. 8","Шелепиха","1","0","0","1","15500000","459 941 ₽ за м²"
"2742","Квартира-студия","25,4 м²","20","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","8437880","332 200 ₽ за м²"
"2743","Квартира-студия","20,1 м²","25","27 эт.","ЖК «Перовское 2», корп. 2.1","Нижегородская","1","0","0","1","6900000","343 284 ₽ за м²"
"2744","1-к. квартира","33,4 м²","10","24 эт.","ул. Южнопортовая, вл. 28А","Кожуховская","1","0","0","1","10400000","311 377 ₽ за м²"
"2745","2-к. квартира","38 м²","7","15 эт.","пр-т Рязанский, д. 6А","Стахановская","1","0","0","1","14500000","381 579 ₽ за м²"
"2746","2-к. квартира","60,3 м²","15","21 эт.","б-р Эйнштейна , д. 2","","1","0","0","1","10290000","170 647 ₽ за м²"
"2747","3-к. квартира","62,4 м²","3","9 эт.","ул. Автозаводская, вл. 23/66","Нагатинская","1","0","0","1","19900000","318 910 ₽ за м²"
"2748","3-к. апартаменты","66,9 м²","30","31 эт.","деревня Раздоры, улица Липовой Рощи, корп. 14","Строгино","1","0","0","1","11999999","179 372 ₽ за м²"
"2749","3-к. апартаменты","66,9 м²","30","31 эт.","деревня Раздоры, улица Липовой Рощи, корп. 14","Строгино","1","0","0","1","11999999","179 372 ₽ за м²"
"2750","Квартира-студия","20 м²","17","26 эт.","ш. Перовское, уч. 2","Нижегородская","1","0","0","1","6387843","319 392 ₽ за м²"
"2751","1-к. квартира","32,3 м²","6","14 эт.","ул. Саларьевская, жилые дома","Саларьево","1","0","0","1","7856910","243 248 ₽ за м²"
"2752","3-к. квартира","71 м²","8","14 эт.","ул. Саларьевская, жилые дома","Саларьево","1","0","0","1","13436324","189 244 ₽ за м²"
"2753","2-к. квартира","55,3 м²","9","16 эт.","ул. Люблинская, жилые дома","Братиславская","1","0","0","1","10856938","196 328 ₽ за м²"
"2754","3-к. квартира","71 м²","10","14 эт.","ул. Саларьевская, жилые дома","Саларьево","1","0","0","1","13495112","190 072 ₽ за м²"
"2755","3-к. квартира","91,2 м²","9","14 эт.","ул. Саларьевская, жилые дома","Саларьево","1","0","0","1","16050835","175 996 ₽ за м²"
"2756","1-к. квартира","35,7 м²","13","25 эт.","рп. Дрожжино, территория Бутово Парк 2, корп. 26","Улица Скобелевская","1","0","0","1","6419145","179 808 ₽ за м²"
"2757","Квартира-студия","20 м²","13","16 эт.","ул. Люблинская, жилые дома","Братиславская","1","0","0","1","5293680","264 684 ₽ за м²"
"2758","1-к. квартира","34,2 м²","12","14 эт.","ул. Саларьевская, жилые дома","Саларьево","1","0","0","1","8105126","236 992 ₽ за м²"
"2759","2-к. квартира","66,3 м²","25","33 эт.","пр-д Стройкомбината, ЖК «Новое Очаково»","Озёрная","1","0","0","1","14390149","217 046 ₽ за м²"
"2760","1-к. квартира","36 м²","14","32 эт.","ул. Барклая, ЖК «Барклая 6»","Багратионовская","1","0","0","1","13416192","372 672 ₽ за м²"
"2761","2-к. квартира","32,8 м²","3","18 эт.","ул. Саларьевская, жилые дома","Саларьево","1","0","0","1","8072080","246 100 ₽ за м²"
"2762","3-к. квартира","97,2 м²","4","12 эт.","жилой комплекс Барклая 6, к2","Парк Победы","1","0","0","1","27396403","281 856 ₽ за м²"
"2763","2-к. квартира","65,8 м²","12","14 эт.","ул. Саларьевская, жилые дома","Саларьево","1","0","0","1","12633863","192 004 ₽ за м²"
"2764","2-к. квартира","51 м²","5","14 эт.","ул. Саларьевская, жилые дома","Саларьево","1","0","0","1","11833224","232 024 ₽ за м²"
"2765","Квартира-студия","20,1 м²","33","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","1","0","0","1","5461371","271 710 ₽ за м²"
"2766","3-к. квартира","84,3 м²","10","22 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","19668201","233 312 ₽ за м²"
"2767","2-к. квартира","57,2 м²","2","15 эт.","ул. Саларьевская, жилые дома","Саларьево","1","0","0","1","12361377","216 108 ₽ за м²"
"2768","2-к. квартира","81 м²","8","10 эт.","пр-д Измайловский, д. 22, корп. 1","Локомотив","1","0","0","1","15997500","197 500 ₽ за м²"
"2769","Квартира-студия","20,2 м²","3","33 эт.","пр-д Стройкомбината, ЖК «Новое Очаково»","Озёрная","1","0","0","1","5768554","285 572 ₽ за м²"
"2770","Квартира-студия","20 м²","9","19 эт.","жилой комплекс Митинский Лес, жилые дома","Пятницкое шоссе","1","0","0","1","4933040","246 652 ₽ за м²"
"2771","Квартира-студия","20 м²","14","26 эт.","ш. Перовское, уч. 2","Нижегородская","1","0","0","1","6466445","323 322 ₽ за м²"
"2772","Квартира-студия","21,7 м²","8","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","7343280","338 400 ₽ за м²"
"2773","3-к. квартира","68,5 м²","5","18 эт.","п. Сосенское, дер. Николо-Хованское, пр-т Прокшинский, д. 12","Прокшино","1","0","0","1","17190000","250 949 ₽ за м²"
"2774","Квартира-студия","25,6 м²","3","33 эт.","ул. Ижорская, ЖК «Бусиновский парк»","Ховрино","1","0","0","1","7001702","273 504 ₽ за м²"
"2775","2-к. квартира","48,7 м²","6","33 эт.","ЖК «Амурский парк», жилые дома","Локомотив","1","0","0","1","11691701","240 076 ₽ за м²"
"2776","Квартира-студия","21,9 м²","11","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","7505130","342 700 ₽ за м²"
"2777","3-к. квартира","79,8 м²","14","25 эт.","ул. Шеногина, вл. 2","Шелепиха","1","0","0","1","32990000","413 409 ₽ за м²"
"2778","1-к. апартаменты","32 м²","5","21 эт.","улица Сокольнический Вал, 1к2","Рижская","1","0","0","1","8271360","258 480 ₽ за м²"
"2779","2-к. квартира","53,6 м²","4","25 эт.","ул. Люблинская, жилые дома","Братиславская","1","0","0","1","11179030","208 564 ₽ за м²"
"2780","2-к. квартира","52,3 м²","3","19 эт.","жилой комплекс Митинский Лес, жилые дома","Пятницкое шоссе","1","0","0","1","9767548","186 760 ₽ за м²"
"2781","2-к. квартира","48,8 м²","22","32 эт.","ул. Полярная, ЖК «Полар»","Медведково","1","0","0","1","10712185","219 512 ₽ за м²"
"2782","1-к. квартира","32,3 м²","5","33 эт.","пр-д Стройкомбината, ЖК «Новое Очаково»","Озёрная","1","0","0","1","8155233","252 484 ₽ за м²"
"2783","2-к. квартира","45,9 м²","15","26 эт.","ш. Перовское, уч. 2","Нижегородская","1","0","0","1","12176636","265 286 ₽ за м²"
"2784","1-к. квартира","32,2 м²","15","33 эт.","Кавказский б-р, корп. 1.5-1.6","Кантемировская","1","0","0","1","7964734","247 352 ₽ за м²"
"2785","Квартира-студия","19,9 м²","30","33 эт.","пр-д Стройкомбината, ЖК «Новое Очаково»","Озёрная","1","0","0","1","5724036","287 640 ₽ за м²"
"2786","2-к. квартира","52,4 м²","5","32 эт.","ул. Барклая, ЖК «Барклая 6»","Багратионовская","1","0","0","1","17586278","335 616 ₽ за м²"
"2787","3-к. квартира","71 м²","5","14 эт.","ул. Саларьевская, жилые дома","Саларьево","1","0","0","1","13364472","188 232 ₽ за м²"
"2788","3-к. квартира","64,4 м²","9","12 эт.","ул. Полковника Романова, жилой дом","Медведково","1","0","0","1","11990000","186 180 ₽ за м²"
"2789","Квартира-студия","20 м²","20","38 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","7498787","374 939 ₽ за м²"
"2790","3-к. квартира","66 м²","5","22 эт.","ул. Полковника Романова, жилой дом","Медведково","1","0","0","1","11600000","175 758 ₽ за м²"
"2791","1-к. квартира","36,9 м²","3","10 эт.","ул. Автозаводская, вл. 23","ЗИЛ","1","0","0","1","14200000","384 824 ₽ за м²"
"2792","Квартира-студия","21,9 м²","8","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","7461330","340 700 ₽ за м²"
"2793","2-к. квартира","48,4 м²","7","33 эт.","ш. Открытое, вл. 18/1","Бульвар Рокоссовского","1","0","0","1","12526694","258 816 ₽ за м²"
