"Column1","Тип квартиры","м^2","Этаж","Этажей в доме","Адресс","Станция метро","Окна во двор","Окна на улицу","Окна на солнечную сторону","Новостройка","Цена квартиры","Цена за м^2"
"3752","1-к. квартира","36 м²","10","38 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","11211569","311 432 ₽ за м²"
"3753","1-к. квартира","39,3 м²","2","24 эт.","ул. Римского-Корсакова, жилой дом","Отрадное","1","0","0","1","9118386","232 020 ₽ за м²"
"3754","2-к. квартира","60,7 м²","12","32 эт.","ул. Барклая, ЖК «Барклая 6»","Багратионовская","1","0","0","1","19334649","318 528 ₽ за м²"
"3755","2-к. квартира","52,7 м²","18","46 эт.","ул. Озёрная, вл. 1, стр. 4","Мичуринский проспект","1","0","0","1","21500000","407 970 ₽ за м²"
"3756","2-к. квартира","49,9 м²","15","33 эт.","Ижорская ул., вл. 6","Ховрино","1","0","0","1","11837078","237 216 ₽ за м²"
"3757","3-к. квартира","73,2 м²","9","24 эт.","ул. Римского-Корсакова, жилой дом","Отрадное","1","0","0","1","16535880","225 900 ₽ за м²"
"3758","1-к. квартира","44 м²","27","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","1","0","0","1","9242640","210 060 ₽ за м²"
"3759","1-к. квартира","36,1 м²","14","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","10152908","281 244 ₽ за м²"
"3760","3-к. квартира","80,7 м²","14","29 эт.","пр-т Волгоградский, вл. 32, корп. 3","Угрешская","1","0","0","1","23520333","291 454 ₽ за м²"
"3761","3-к. квартира","72,8 м²","10","33 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","18723813","257 195 ₽ за м²"
"3762","3-к. квартира","65,4 м²","24","32 эт.","пр-д Причальный, вл. 8","Шелепиха","1","0","0","1","28710216","438 994 ₽ за м²"
"3763","3-к. квартира","61,5 м²","2","21 эт.","ул. 3-я Хорошевская, стр. 3, вл. 19","Зорге","1","0","0","1","21124558","343 489 ₽ за м²"
"3764","Квартира-студия","25,7 м²","27","33 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","8353862","325 053 ₽ за м²"
"3765","Апартаменты-студия","26,7 м²","2","30 эт.","пр-т Волгоградский, вл. 32/5","Угрешская","1","0","0","1","8226707","308 116 ₽ за м²"
"3766","Квартира-студия","23,6 м²","2","24 эт.","улица Римского-Корсакова, Жилой комплекс «Римского-Корсакова 11»","Бибирево","1","0","0","1","6318900","267 750 ₽ за м²"
"3767","3-к. квартира","83,5 м²","23","30 эт.","ул. Шеногина, вл. 2","Шелепиха","1","0","0","1","48500000","580 838 ₽ за м²"
"3768","2-к. квартира","32,5 м²","25","26 эт.","ш. Перовское, уч. 2","Нижегородская","1","0","0","1","9121000","280 646 ₽ за м²"
"3769","1-к. квартира","32,2 м²","30","38 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","10457749","324 775 ₽ за м²"
"3770","2-к. квартира","58,3 м²","31","33 эт.","Кавказский б-р, корп. 1.5-1.6","Кантемировская","1","0","0","1","13277941","227 752 ₽ за м²"
"3771","2-к. квартира","54 м²","13","25 эт.","ул. Кольская, д. 8, корп. 2","Свиблово","1","0","0","1","15595524","288 806 ₽ за м²"
"3772","1-к. апартаменты","31,7 м²","21","21 эт.","улица Сокольнический Вал, 1к2","Рижская","1","0","0","1","8618913","271 890 ₽ за м²"
"3773","1-к. квартира","32,6 м²","33","33 эт.","б-р Кронштадтский, д. 14","Водный стадион","1","0","0","1","11326022","347 424 ₽ за м²"
"3774","Квартира-студия","21,6 м²","10","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","6509030","301 344 ₽ за м²"
"3775","2-к. квартира","48 м²","4","44 эт.","1-й Сетуньский пр-д, вл. 6-10","Спортивная","1","0","0","1","22500000","468 750 ₽ за м²"
"3776","1-к. квартира","39,8 м²","14","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","10377292","260 736 ₽ за м²"
"3777","1-к. квартира","39,2 м²","17","32 эт.","ул. Барклая, ЖК «Барклая 6»","Багратионовская","1","0","0","1","13675468","348 864 ₽ за м²"
"3778","2-к. квартира","35,9 м²","33","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","9422457","262 464 ₽ за м²"
"3779","2-к. квартира","70,1 м²","2","33 эт.","жилой комплекс Кронштадтский 14, к1.4","Водный стадион","1","0","0","1","20451254","291 744 ₽ за м²"
"3780","2-к. квартира","47,9 м²","2","25 эт.","ул. Кольская, д. 8, корп. 2","Свиблово","1","0","0","1","14345475","299 488 ₽ за м²"
"3781","1-к. квартира","37,5 м²","7","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","11711250","312 300 ₽ за м²"
"3782","Квартира-студия","25,5 м²","7","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","7270254","285 108 ₽ за м²"
"3783","1-к. квартира","34 м²","21","24 эт.","ул. Римского-Корсакова, жилой дом","Отрадное","1","0","0","1","8546580","251 370 ₽ за м²"
"3784","1-к. квартира","40,8 м²","5","13 эт.","ш. Волоколамское, д. 73, корп. 13","Спартак","1","0","0","1","13606555","333 494 ₽ за м²"
"3785","2-к. квартира","51,5 м²","16","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","12933504","251 136 ₽ за м²"
"3786","Квартира-студия","23,5 м²","25","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","6758976","287 616 ₽ за м²"
"3787","2-к. квартира","57,2 м²","19","30 эт.","пр-т Волгоградский, вл. 32/5, корп. 12","Угрешская","1","0","0","1","17783707","310 904 ₽ за м²"
"3788","2-к. квартира","51,2 м²","21","33 эт.","б-р Кронштадтский, д. 14","Водный стадион","1","0","0","1","15355084","299 904 ₽ за м²"
"3789","Квартира-студия","25,6 м²","26","33 эт.","б-р Кронштадтский, д. 14","Водный стадион","1","0","0","1","8916172","348 288 ₽ за м²"
"3790","1-к. квартира","34,3 м²","26","33 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","10924372","318 495 ₽ за м²"
"3791","3-к. квартира","51,2 м²","7","25 эт.","ул. Кольская, д. 8, корп. 2","Свиблово","1","0","0","1","14801920","289 100 ₽ за м²"
"3792","1-к. квартира","36,2 м²","21","33 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","11383438","314 460 ₽ за м²"
"3793","1-к. квартира","32,5 м²","11","29 эт.","ул. Южнопортовая, з/у 42/1","Печатники","1","0","0","1","13951405","429 274 ₽ за м²"
"3794","Квартира-студия","25,7 м²","28","33 эт.","Ижорская ул., вл. 6","Ховрино","1","0","0","1","6782332","263 904 ₽ за м²"
"3795","2-к. квартира","34,4 м²","22","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","1","0","0","1","7922664","230 310 ₽ за м²"
"3796","2-к. квартира","50,7 м²","32","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","13594089","268 128 ₽ за м²"
"3797","2-к. квартира","69,3 м²","8","9 эт.","ул. 3-я Хорошевская, стр. 3, вл. 19","Зорге","1","0","0","1","24063905","347 242 ₽ за м²"
"3798","1-к. квартира","36,9 м²","17","24 эт.","ш. Волоколамское, д. 73, корп. 13","Спартак","1","0","0","1","12327625","334 082 ₽ за м²"
"3799","2-к. квартира","51,7 м²","30","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","13688919","264 776 ₽ за м²"
"3800","1-к. апартаменты","37,7 м²","18","21 эт.","улица Сокольнический Вал, 1к2","Рижская","1","0","0","1","9639513","255 690 ₽ за м²"
"3801","1-к. квартира","36,1 м²","4","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","9956957","275 816 ₽ за м²"
"3802","3-к. квартира","99,6 м²","5","12 эт.","жилой комплекс Барклая 6, к1","Парк Победы","1","0","0","1","30000000","301 205 ₽ за м²"
"3803","1-к. квартира","34,2 м²","23","33 эт.","б-р Кронштадтский, д. 14","Водный стадион","1","0","0","1","11320473","331 008 ₽ за м²"
"3804","2-к. квартира","62,6 м²","29","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","14477126","231 264 ₽ за м²"
"3805","1-к. квартира","32,6 м²","19","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","9417488","288 880 ₽ за м²"
"3806","2-к. квартира","59,1 м²","33","33 эт.","ул. Новохохловская, д. 15, стр. 4","Новохохловская","1","0","0","1","15817405","267 638 ₽ за м²"
"3807","2-к. квартира","57,9 м²","18","32 эт.","Кронштадтский бульвар, корп. 1/3","Водный стадион","1","0","0","1","17226871","297 528 ₽ за м²"
"3808","4-к. квартира","115,6 м²","9","12 эт.","жилой комплекс Барклая 6, к3","Багратионовская","1","0","0","1","35612198","308 064 ₽ за м²"
"3809","Квартира-студия","23,8 м²","27","33 эт.","ул. Новохохловская, д. 15, стр. 4","Новохохловская","1","0","0","1","8473609","356 034 ₽ за м²"
"3810","1-к. квартира","38,8 м²","22","33 эт.","Дмитровское ш., вл. 71, корп. 5","Верхние Лихоборы","1","0","0","1","11400000","293 814 ₽ за м²"
"3811","2-к. квартира","50,9 м²","15","32 эт.","ул. Полярная, ЖК «Полар»","Медведково","1","0","0","1","11173160","219 512 ₽ за м²"
"3812","2-к. квартира","50,9 м²","24","33 эт.","Кавказский б-р, корп. 1.1-1.4","Кантемировская","1","0","0","1","14705213","288 904 ₽ за м²"
"3813","1-к. квартира","36 м²","6","22 эт.","ул. Полковника Романова, жилой дом","Медведково","1","0","0","1","6900000","191 667 ₽ за м²"
"3814","Квартира-студия","20 м²","13","16 эт.","ул. Люблинская, жилые дома","Братиславская","1","0","0","1","5293680","264 684 ₽ за м²"
"3815","3-к. квартира","87,7 м²","14","32 эт.","ул. Барклая, ЖК «Барклая 6»","Багратионовская","1","0","0","1","24255715","276 576 ₽ за м²"
"3816","3-к. квартира","77 м²","12","17 эт.","ул. Полковника Романова, жилой дом","Медведково","1","0","0","1","13200000","171 429 ₽ за м²"
"3817","2-к. квартира","53,6 м²","4","25 эт.","ул. Люблинская, жилые дома","Братиславская","1","0","0","1","11179030","208 564 ₽ за м²"
"3818","1-к. квартира","35,7 м²","21","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","10129089","283 728 ₽ за м²"
"3819","1-к. квартира","33,6 м²","20","21 эт.","3-й Нижнелихоборский пр-д, д.2, корп. 2","Окружная","1","0","0","1","11343360","337 600 ₽ за м²"
"3820","3-к. квартира","73,4 м²","24","24 эт.","ул. Римского-Корсакова, жилой дом","Отрадное","1","0","0","1","16739604","228 060 ₽ за м²"
"3821","Квартира-студия","25,5 м²","13","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","7324212","287 224 ₽ за м²"
"3822","2-к. квартира","52,4 м²","5","21 эт.","пос. Нагорное, ул. Полковника Романова, д. 5","Медведково","1","0","0","1","9800000","187 023 ₽ за м²"
"3823","3-к. квартира","94,4 м²","3","32 эт.","Кронштадтский бульвар, корп. 1/4","Водный стадион","1","0","0","1","25440800","269 500 ₽ за м²"
"3824","Квартира-студия","20 м²","13","25 эт.","Западный административный округ, жилой комплекс Мякинино Парк, к3/1","Мякинино","1","0","0","1","6590000","329 500 ₽ за м²"
"3825","2-к. квартира","48,7 м²","6","33 эт.","ЖК «Амурский парк», жилые дома","Локомотив","1","0","0","1","11691701","240 076 ₽ за м²"
"3826","Квартира-студия","20 м²","25","38 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","7528202","376 410 ₽ за м²"
"3827","1-к. квартира","42,8 м²","9","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","11188262","261 408 ₽ за м²"
"3828","2-к. квартира","60,7 м²","10","32 эт.","ул. Барклая, ЖК «Барклая 6»","Багратионовская","1","0","0","1","19299686","317 952 ₽ за м²"
"3829","2-к. апартаменты","57,1 м²","20","21 эт.","улица Сокольнический Вал, 1к1","Рижская","1","0","0","1","13068477","228 870 ₽ за м²"
"3830","3-к. квартира","84 м²","5","24 эт.","жилой комплекс Барклая 6, к5","Багратионовская","1","0","0","1","26659584","317 376 ₽ за м²"
"3831","2-к. квартира","65,2 м²","32","32 эт.","Кронштадтский бульвар, корп. 1/4","Водный стадион","1","0","0","1","18753476","287 630 ₽ за м²"
"3832","3-к. квартира","77,7 м²","10","33 эт.","ш. Перовское, уч. 2","Нижегородская","1","0","0","1","16586069","213 463 ₽ за м²"
"3833","1-к. апартаменты","37,2 м²","11","13 эт.","ул. Октябрьская, вл. 98","Марьина Роща","1","0","0","1","11156509","299 906 ₽ за м²"
"3834","1-к. квартира","32,4 м²","21","33 эт.","б-р Кронштадтский, д. 14","Водный стадион","1","0","0","1","11212992","346 080 ₽ за м²"
"3835","2-к. квартира","34,3 м²","4","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","10921120","318 400 ₽ за м²"
"3836","1-к. квартира","35,9 м²","29","33 эт.","Кавказский б-р, корп. 1.1-1.4","Кантемировская","1","0","0","1","9390075","261 562 ₽ за м²"
"3837","1-к. квартира","34,3 м²","17","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","9252219","269 744 ₽ за м²"
"3838","2-к. квартира","34,4 м²","13","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","11097440","322 600 ₽ за м²"
"3839","1-к. квартира","35,9 м²","8","32 эт.","жилой комплекс Митинский Лес, жилые дома","Пятницкое шоссе","1","0","0","1","7451116","207 552 ₽ за м²"
"3840","2-к. квартира","56 м²","2","32 эт.","ул. Барклая, ЖК «Барклая 6»","Багратионовская","1","0","0","1","17332224","309 504 ₽ за м²"
"3841","2-к. квартира","71,1 м²","16","21 эт.","б-р Кронштадтский, Жилой комплекс «Кронштадтский 9»","Водный стадион","1","0","0","1","18464670","259 700 ₽ за м²"
"3842","3-к. квартира","73,2 м²","13","24 эт.","ул. Римского-Корсакова, жилой дом","Отрадное","1","0","0","1","16601760","226 800 ₽ за м²"
"3843","2-к. квартира","49 м²","21","33 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","14369700","293 259 ₽ за м²"
"3844","1-к. апартаменты","37,4 м²","3","29 эт.","пр-т Волгоградский, вл. 32/5","Угрешская","1","0","0","1","10038785","268 417 ₽ за м²"
"3845","2-к. апартаменты","57,2 м²","15","21 эт.","улица Сокольнический Вал, 1к2","Рижская","1","0","0","1","13384800","234 000 ₽ за м²"
"3846","1-к. квартира","39,3 м²","24","24 эт.","ул. Римского-Корсакова, жилой дом","Отрадное","1","0","0","1","9535752","242 640 ₽ за м²"
"3847","Квартира-студия","19,9 м²","18","23 эт.","Кавказский б-р, корп. 1.5-1.6","Кантемировская","1","0","0","1","5817446","292 334 ₽ за м²"
"3848","Апартаменты-студия","31,6 м²","12","13 эт.","ул. Октябрьская, вл. 98","Марьина Роща","1","0","0","1","9304146","294 435 ₽ за м²"
"3849","2-к. квартира","62,9 м²","17","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","14268739","226 848 ₽ за м²"
"3850","2-к. квартира","45,7 м²","29","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","12508090","273 700 ₽ за м²"
"3851","2-к. квартира","51,2 м²","22","33 эт.","б-р Кронштадтский, д. 14","Водный стадион","1","0","0","1","15345254","299 712 ₽ за м²"
"3852","Квартира-студия","24,1 м²","9","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","7868650","326 500 ₽ за м²"
"3853","2-к. квартира","61,8 м²","16","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","16432620","265 900 ₽ за м²"
"3854","Квартира-студия","19,9 м²","33","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","6481032","325 680 ₽ за м²"
"3855","1-к. квартира","37,9 м²","5","32 эт.","ул. Барклая, ЖК «Барклая 6»","Багратионовская","1","0","0","1","13349289","352 224 ₽ за м²"
"3856","2-к. квартира","34,1 м²","30","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","8972937","263 136 ₽ за м²"
"3857","2-к. квартира","50,1 м²","6","22 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","12910369","257 692 ₽ за м²"
"3858","3-к. квартира","72,6 м²","18","33 эт.","б-р Кронштадтский, д. 14","Водный стадион","1","0","0","1","19403366","267 264 ₽ за м²"
"3859","1-к. квартира","40,6 м²","3","22 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","10615438","261 464 ₽ за м²"
"3860","4-к. квартира","102,1 м²","4","29 эт.","пр-т Волгоградский, вл. 32, корп. 3","Угрешская","1","0","0","1","27695436","271 258 ₽ за м²"
"3861","2-к. квартира","45,1 м²","18","25 эт.","г. Зеленоград, Георгиевский пр-т, ЖК «Зелёный парк»","","1","0","0","1","9652843","214 032 ₽ за м²"
"3862","3-к. квартира","77,7 м²","16","30 эт.","пр-т Волгоградский, вл. 32/5, корп. 14","Угрешская","1","0","0","1","22675663","291 836 ₽ за м²"
"3863","Квартира-студия","26,4 м²","15","32 эт.","Кронштадтский бульвар, корп. 1/3","Водный стадион","1","0","0","1","9220780","349 272 ₽ за м²"
"3864","3-к. квартира","85,3 м²","23","24 эт.","улица Римского-Корсакова, Жилой комплекс «Римского-Корсакова 11»","Бибирево","1","0","0","1","19146438","224 460 ₽ за м²"
"3865","Квартира-студия","26,7 м²","23","29 эт.","пр-т Волгоградский, вл. 32, корп. 3","Угрешская","1","0","0","1","9777119","366 184 ₽ за м²"
"3866","2-к. квартира","43,8 м²","12","13 эт.","ул. Автозаводская, вл. 23","ЗИЛ","1","0","0","1","15800000","360 731 ₽ за м²"
"3867","Квартира-студия","20 м²","12","26 эт.","ш. Перовское, уч. 2","Нижегородская","1","0","0","1","6380175","319 009 ₽ за м²"
"3868","2-к. квартира","55,3 м²","9","16 эт.","ул. Люблинская, жилые дома","Братиславская","1","0","0","1","10856938","196 328 ₽ за м²"
"3869","Квартира-студия","20,2 м²","15","17 эт.","жилой комплекс Волжский Парк, корп. 1","Текстильщики","1","0","0","1","5992612","296 664 ₽ за м²"
"3870","2-к. квартира","48,8 м²","17","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","13370028","273 976 ₽ за м²"
"3871","2-к. квартира","52,4 м²","12","16 эт.","п. Сосенское, дер. Николо-Хованское, кв-л 26, д. 4","Филатов луг","1","0","0","1","13000000","248 092 ₽ за м²"
"3872","Квартира-студия","20,4 м²","2","26 эт.","ул. Красноказарменная, вл. 15","Авиамоторная","1","0","0","1","8216630","402 776 ₽ за м²"
"3873","2-к. квартира","36 м²","12","24 эт.","ул. Римского-Корсакова, жилой дом","Отрадное","1","0","0","1","8624880","239 580 ₽ за м²"
"3874","Апартаменты-студия","29,5 м²","10","28 эт.","деревня Раздоры, жилой комплекс Спутник, корп. 17","Строгино","1","0","0","1","6900000","233 898 ₽ за м²"
"3875","2-к. квартира","45,9 м²","10","32 эт.","жилой комплекс Кронштадский 9, корп. 1/1","Водный стадион","1","0","0","1","15815671","344 568 ₽ за м²"
"3876","1-к. квартира","41,5 м²","30","33 эт.","2-й Нагатинский пр-д, д. 2, корп. 4","Коломенская","1","0","0","1","12397046","298 724 ₽ за м²"
"3877","1-к. квартира","32,4 м²","19","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","9383558","289 616 ₽ за м²"
"3878","2-к. квартира","56,3 м²","8","16 эт.","ул. Люблинская, жилые дома","Братиславская","1","0","0","1","11224193","199 364 ₽ за м²"
"3879","Квартира-студия","25,7 м²","28","33 эт.","ул. Новохохловская, д. 15, стр. 4","Новохохловская","1","0","0","1","8570795","333 494 ₽ за м²"
"3880","Квартира-студия","23,6 м²","10","33 эт.","ш. Перовское, уч. 2","Нижегородская","1","0","0","1","6967607","295 238 ₽ за м²"
"3881","1-к. квартира","36,3 м²","21","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","1","0","0","1","8275311","227 970 ₽ за м²"
"3882","2-к. квартира","34,3 м²","12","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","11089190","323 300 ₽ за м²"
"3883","Квартира-студия","20,2 м²","12","33 эт.","жилой комплекс Матвеевский Парк, к2.4","Аминьевская","1","0","0","1","7300000","361 386 ₽ за м²"
"3884","2-к. апартаменты","55,5 м²","16","16 эт.","пос. Мосрентген, Бизнес-парк Г10, корп. 1.2","Румянцево","1","0","0","1","14950000","269 369 ₽ за м²"
"3885","1-к. квартира","32,4 м²","8","22 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","9067593","279 864 ₽ за м²"
"3886","1-к. квартира","37,7 м²","12","32 эт.","ул. Барклая, ЖК «Барклая 6»","Багратионовская","1","0","0","1","13333132","353 664 ₽ за м²"
"3887","1-к. квартира","32,8 м²","14","17 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","1","0","0","1","7743096","236 070 ₽ за м²"
"3888","3-к. квартира","71 м²","5","14 эт.","ул. Саларьевская, жилые дома","Саларьево","1","0","0","1","13364472","188 232 ₽ за м²"
"3889","Квартира-студия","25,4 м²","5","24 эт.","улица Римского-Корсакова, Жилой комплекс «Римского-Корсакова 11»","Бибирево","1","0","0","1","6725412","264 780 ₽ за м²"
"3890","1-к. квартира","41,2 м²","27","32 эт.","ул. Большая Очаковская, д. 2","Аминьевская","1","0","0","1","14697523","356 736 ₽ за м²"
"3891","2-к. квартира","48,8 м²","33","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","13576550","278 208 ₽ за м²"
"3892","2-к. квартира","64,4 м²","10","24 эт.","жилой комплекс Барклая 6, к4","Багратионовская","1","0","0","1","21347827","331 488 ₽ за м²"
"3893","1-к. квартира","34,1 м²","11","24 эт.","ул. Римского-Корсакова, жилой дом","Отрадное","1","0","0","1","8485785","248 850 ₽ за м²"
"3894","Апартаменты-студия","23,5 м²","21","21 эт.","улица Сокольнический Вал, 1к2","Рижская","1","0","0","1","7850000","334 043 ₽ за м²"
"3895","2-к. квартира","61,9 м²","31","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","16737760","270 400 ₽ за м²"
"3896","3-к. квартира","87,7 м²","6","11 эт.","пр-д Причальный, вл. 8","Шелепиха","1","0","0","1","30830384","351 544 ₽ за м²"
"3897","1-к. квартира","31,3 м²","13","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","9010268","287 868 ₽ за м²"
"3898","Квартира-студия","25,7 м²","21","33 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","8328646","324 072 ₽ за м²"
"3899","1-к. квартира","41,6 м²","14","16 эт.","ул. Люблинская, жилые дома","Братиславская","1","0","0","1","9024537","216 936 ₽ за м²"
"3900","1-к. апартаменты","40,4 м²","2","29 эт.","пр-т Волгоградский, вл. 32/5","Угрешская","1","0","0","1","10220476","252 982 ₽ за м²"
"3901","3-к. квартира","72,6 м²","32","33 эт.","б-р Кронштадтский, д. 14","Водный стадион","1","0","0","1","19591545","269 856 ₽ за м²"
"3902","Квартира-студия","19,9 м²","4","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","6362030","319 700 ₽ за м²"
"3903","1-к. квартира","32,3 м²","26","33 эт.","Кавказский б-р, корп. 1.5-1.6","Кантемировская","1","0","0","1","8027454","248 528 ₽ за м²"
"3904","2-к. квартира","70,7 м²","4","41 эт.","пр-д Шмитовский, вл. 39, корп. 5","Шелепиха","1","0","0","1","23500000","332 390 ₽ за м²"
"3905","3-к. квартира","78,9 м²","8","30 эт.","пр-т Волгоградский, вл. 32/5, корп. 13","Угрешская","1","0","0","1","22737863","288 186 ₽ за м²"
"3906","1-к. квартира","44,6 м²","9","14 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","11854144","265 788 ₽ за м²"
"3907","2-к. квартира","58,8 м²","22","23 эт.","Кавказский б-р, корп. 1.5-1.6","Кантемировская","1","0","0","1","13224708","224 910 ₽ за м²"
"3908","2-к. квартира","41,4 м²","30","31 эт.","ул. Газгольдерная, вл. 8","Нижегородская","1","0","0","1","14700000","355 072 ₽ за м²"
"3909","3-к. квартира","74,1 м²","9","33 эт.","ул. Кольская, д. 8, корп. 2","Свиблово","1","0","0","1","18749967","253 036 ₽ за м²"
"3910","1-к. квартира","43,3 м²","4","16 эт.","ул. Лобачевского/платформа «Матвеевская», кв-л 9.1","Аминьевская","1","0","0","1","20000000","461 894 ₽ за м²"
"3911","2-к. апартаменты","57,1 м²","5","21 эт.","улица Сокольнический Вал, 1к2","Рижская","1","0","0","1","12919446","226 260 ₽ за м²"
"3912","1-к. квартира","40,3 м²","5","25 эт.","г. Зеленоград, Георгиевский пр-т, ЖК «Зелёный парк»","","1","0","0","1","8779516","217 854 ₽ за м²"
"3913","2-к. квартира","63,9 м²","13","14 эт.","ул. Саларьевская, жилые дома","Саларьево","1","0","0","1","12327843","192 924 ₽ за м²"
"3914","3-к. апартаменты","71,1 м²","9","30 эт.","пр-т Волгоградский, вл. 32/5, корп. 12","Угрешская","1","0","0","1","16677000","234 557 ₽ за м²"
"3915","2-к. квартира","34,7 м²","31","33 эт.","ул. Кольская, д. 8, корп. 2","Свиблово","1","0","0","1","11762675","338 982 ₽ за м²"
"3916","Квартира-студия","23,7 м²","7","14 эт.","пос. Филимонковское, дер. Середнево, кв-л 25, ЖК «Середневский лес»","рн Филимонковское","1","0","0","1","4825414","203 604 ₽ за м²"
"3917","2-к. квартира","62,1 м²","11","29 эт.","пр-т Волгоградский, вл. 32, корп. 3","Угрешская","1","0","0","1","18519458","298 220 ₽ за м²"
"3918","3-к. квартира","82,4 м²","5","24 эт.","ул. Кольская, д. 8, корп. 2","Свиблово","1","0","0","1","20026496","243 040 ₽ за м²"
"3919","Квартира-студия","21 м²","2","35 эт.","ул. Фестивальная, вл. 15, стр. 24.3","Речной вокзал","1","0","0","1","8300000","395 238 ₽ за м²"
"3920","2-к. квартира","58,3 м²","15","32 эт.","ул. Барклая, ЖК «Барклая 6»","Багратионовская","1","0","0","1","17736259","304 224 ₽ за м²"
"3921","Квартира-студия","25 м²","8","22 эт.","ул. Дегунинская, вл. 5А","Селигерская","1","0","0","1","9500000","380 000 ₽ за м²"
"3922","2-к. квартира","64 м²","4","8 эт.","пр-д Береговой, д. 3","Шелепиха","1","0","0","1","35000000","546 875 ₽ за м²"
"3923","Квартира-студия","20,1 м²","11","38 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","7370991","366 716 ₽ за м²"
"3924","3-к. квартира","81,1 м²","29","29 эт.","пр-т Волгоградский, вл. 32, корп. 3","Угрешская","1","0","0","1","24205835","298 469 ₽ за м²"
"3925","Апартаменты-студия","29 м²","15","21 эт.","улица Сокольнический Вал, 1к2","Рижская","1","0","0","1","7482870","258 030 ₽ за м²"
